controller,seed,block_start_x,block_start_y,block_start_z,success,target_distance,total_steps,above_block_error,at_block_error,lift_error,above_target_error,place_error,retreat_error,mean_waypoint_error,max_waypoint_error,joint_limit_clips,torque_clipped_substeps,failure_reason
dls,0,0.3764354024785745,-0.06906398587083891,0.02,True,0.024953091795699614,184,0.0033301288517972095,0.0022601037039832465,0.0032071076603476674,0.005853230470856597,0.005015921977879365,0.0005437050136774055,0.003368366279756915,0.005853230470856597,0,38,
builtin,0,0.3764354024785745,-0.06906398587083891,0.02,True,0.02044667010410058,198,0.007082528312646491,0.015662495349452247,0.01545488362644744,0.007422926744176603,0.016025310944013868,0.015827691877605007,0.01291263947572361,0.016025310944013868,0,0,
dls,1,0.3614185949640308,0.1351391088977806,0.02,True,0.021116315737925,182,0.003364779394484294,0.0023009021598476053,0.0030416609122999897,0.005801357775014391,0.004933766942638208,0.0005438810152506468,0.003331058033255856,0.005801357775014391,0,39,
builtin,1,0.3614185949640308,0.1351391088977806,0.02,True,0.019964972400409967,210,0.006287804408612761,0.015612562891007193,0.015441741462156622,0.011165882803386672,0.010975922619085214,0.013341022001543726,0.012137489364298698,0.015612562891007193,0,0,
dls,2,0.33139345610991794,-0.060452656975763006,0.02,True,0.027150620415234625,186,0.0031277702276638485,0.0026544223905142785,0.003779440718316033,0.005825700626486307,0.005061834378942489,0.0005435016676952978,0.003498778334936375,0.005825700626486307,0,40,
builtin,2,0.33139345610991794,-0.060452656975763006,0.02,True,0.021033332972024817,168,0.015907591874439474,0.015346000345667566,0.015431198506004273,0.012480366570221805,0.017147238172287246,0.01572248060798381,0.015339146012767363,0.017147238172287246,0,0,
dls,3,0.31027790005723493,-0.07895684802117009,0.02,True,0.026196750506632255,188,0.0032982755144927585,0.0030093541149384165,0.003952609347264461,0.005829250083923306,0.004911133054153797,0.0005428541046390709,0.0035905793699019684,0.005829250083923306,0,42,
builtin,3,0.31027790005723493,-0.07895684802117009,0.02,True,0.02006073223531068,176,0.01540382493167311,0.015816703879960117,0.015427521062436602,0.008587439691119393,0.015360146562954114,0.015840119512598307,0.01440595927345694,0.015840119512598307,0,0,
dls,4,0.4131667326686841,0.003398265844308468,0.02,True,0.020930757448094035,178,0.0037189952239331933,0.0022778685574818738,0.002659065991504369,0.005811710127504222,0.00495025925370636,0.0005432885330515678,0.003326864614530264,0.005811710127504222,0,37,
builtin,4,0.4131667326686841,0.003398265844308468,0.02,True,0.021302430816596822,184,0.015318237412550157,0.015902416700096147,0.015484396800129795,0.0071500488456087315,0.015890487625965326,0.015496541654412457,0.014207021506460436,0.015902416700096147,0,0,
dls,5,0.3966003508494456,0.09238223692094813,0.02,True,0.021807318356153592,179,0.003647395528489623,0.002409533977498727,0.0026973107643861885,0.005818088263918816,0.004989385481207404,0.000542580020397643,0.0033507156726497334,0.005818088263918816,0,37,
builtin,5,0.3966003508494456,0.09238223692094813,0.02,True,0.020179157737795737,171,0.015751615726360153,0.016670926250387817,0.015474197628749322,0.016139603396147496,0.0150442307626376,0.013698635849574302,0.015463201602309448,0.016670926250387817,0,0,
dls,6,0.36457972217663315,-0.047018739055998474,0.02,True,0.022985009486385405,184,0.003132563953293564,0.0025227003938295724,0.00341165281731747,0.005823062372805704,0.004952089939741127,0.0005422645210745538,0.0033973889996769986,0.005823062372805704,0,39,
builtin,6,0.36457972217663315,-0.047018739055998474,0.02,True,0.020660901821139964,177,0.01707842711350321,0.011667157373857083,0.015533080015272151,0.010502734974013748,0.006981446003833858,0.015603298529514833,0.012894357334999147,0.01707842711350321,0,0,
dls,7,0.37501145599256,0.11916414029087266,0.02,True,0.02146265757448449,180,0.0034721659721395634,0.0026831376814667406,0.002943032865374836,0.005804203293585844,0.004973930236065126,0.0005431846032190926,0.0034032757753085334,0.005804203293585844,0,38,
builtin,7,0.37501145599256,0.11916414029087266,0.02,True,0.02053666198881305,198,0.00667562670491325,0.015593668499241133,0.015446713118452589,0.0157412392418012,0.017058504825313354,0.01570154316340588,0.014369549258854567,0.017058504825313354,0,0,
dls,8,0.33923667319266726,0.14618305300137766,0.02,True,0.021240243795642808,182,0.003127063613925275,0.0026550025727735617,0.0034584504414959367,0.005792245623813138,0.004906418983202335,0.0005424398872860201,0.0034136035204160448,0.005792245623813138,0,39,
builtin,8,0.33923667319266726,0.14618305300137766,0.02,True,0.01999136588912504,196,0.009925693687807866,0.016143071495868393,0.01546264614347047,0.009002365199650956,0.015033079510270242,0.01577168371419691,0.013556423291877473,0.016143071495868393,0,0,
dls,9,0.40442990447641014,-0.06395483727373338,0.02,True,0.023064200153442408,179,0.003664873805313655,0.00235110323393316,0.0027329514361184907,0.005832427384499712,0.004833420280419305,0.0005433913564927373,0.003326361249462843,0.005832427384499712,0,38,
builtin,9,0.40442990447641014,-0.06395483727373338,0.02,True,0.0209997608195221,173,0.015934238491945682,0.01619331558758894,0.01549175622228967,0.00771642648128911,0.015996420022141144,0.015502614402821469,0.014472461868012668,0.01619331558758894,0,0,
dls,10,0.41472020515547703,-0.08769545697625594,0.02,True,0.02016560524524274,177,0.003272880974663437,0.002145573208803656,0.0024078843343307687,0.005840325389967568,0.005452962529296816,0.000526368017145407,0.003274332409034609,0.005840325389967568,0,37,
builtin,10,0.41472020515547703,-0.08769545697625594,0.02,True,0.02016462046803383,162,0.01209620156168001,0.014973652361109339,0.015552648152352414,0.019775592786530325,0.016077439007436203,0.014862720332738198,0.015556375700307747,0.019775592786530325,0,0,
dls,11,0.31542842433230395,-0.00021664126796550054,0.02,True,0.028021404420782242,184,0.0032562148762687354,0.0030873744091118997,0.0040249095481866394,0.005777317484322607,0.005016284130630581,0.0005396641667584432,0.003616960769213151,0.005777317484322607,0,42,
builtin,11,0.31542842433230395,-0.00021664126796550054,0.02,True,0.020236181914742125,185,0.015216183139214414,0.01551454552838824,0.015429363158746844,0.008054402520836147,0.015886804817464188,0.015833416192477613,0.01432245255952124,0.015886804817464188,0,0,
dls,12,0.3300989349730135,0.13402588285782738,0.02,True,0.021917009324528496,184,0.003445732402476412,0.002944070339950266,0.003576060165498105,0.005806290824300929,0.004955644799462115,0.0005428294776704486,0.003545104668226379,0.005806290824300929,0,41,
builtin,12,0.3300989349730135,0.13402588285782738,0.02,True,0.021317250290915513,190,0.007165926545146112,0.015141058088928051,0.015492838558813773,0.01799603388839492,0.017459024095260088,0.015562386027666802,0.014802877867368289,0.01799603388839492,0,0,
dls,13,0.40377571044199034,0.10659075447961772,0.02,True,0.021695099295989714,179,0.0032164858722805462,0.002245385487371132,0.0024905590953730127,0.005822631668752793,0.0050426161218077815,0.0005430169463116391,0.0032267825319828177,0.005822631668752793,0,37,
builtin,13,0.40377571044199034,0.10659075447961772,0.02,True,0.021102070194355577,172,0.016695473913958345,0.016458914591043095,0.015495805539354155,0.0163149705293159,0.016424689579897938,0.015207333182104236,0.01609953122261228,0.016695473913958345,0,0,
dls,14,0.39971799826669335,-0.041715999949723026,0.02,True,0.022269542399668916,179,0.0035819459819406837,0.002455313205249585,0.0027843903299830082,0.005840654173041448,0.004913059544365775,0.0005422669788452601,0.0033529383689042936,0.005840654173041448,0,38,
builtin,14,0.39971799826669335,-0.041715999949723026,0.02,True,0.020016211549651775,171,0.01587972433054531,0.016391557408176334,0.015481668480866406,0.008918230468961324,0.013893231401835427,0.013943435670387088,0.01408464129346198,0.016391557408176334,0,0,
dls,15,0.38312920415581825,0.09474513340081725,0.02,True,0.021788444496716054,180,0.0034948291257544278,0.002625211044863374,0.00289209087822432,0.0058037864004152305,0.0049868515359021695,0.0005431198594582933,0.0033909814741029695,0.0058037864004152305,0,38,
builtin,15,0.38312920415581825,0.09474513340081725,0.02,True,0.020408447066040388,191,0.007071006694827075,0.01643734820595691,0.015480758168155735,0.0158190836520442,0.015377252047863494,0.014251881517377446,0.014072888381037476,0.01643734820595691,0,0,
dls,16,0.3680300206655238,-0.02077675635294432,0.02,True,0.02201075527194237,183,0.0031557420106358256,0.002490207912013283,0.003352482860009957,0.005821776119179459,0.004978220790075397,0.000542982695375082,0.0033902353978815004,0.005821776119179459,0,39,
builtin,16,0.3680300206655238,-0.02077675635294432,0.02,True,0.020832285751283843,191,0.006741548325835355,0.01560387743622412,0.015447038209597959,0.011546943621910003,0.01692086824301124,0.015556583364114467,0.013636143200115525,0.01692086824301124,0,0,
dls,17,0.40140897513574814,-0.1017080726492679,0.02,True,0.01990855306644944,176,0.003706087178075312,0.002315419903006552,0.0026522536491089804,0.005729455778200611,0.0046234045138492785,0.0005450099092972059,0.003261938488589657,0.005729455778200611,0,38,
builtin,17,0.40140897513574814,-0.1017080726492679,0.02,True,0.022798719260146212,176,0.01641794923608635,0.01657305670504881,0.015505553681493547,0.008701328844617983,0.010924119336979647,0.01336460216025121,0.013581101660746256,0.01657305670504881,0,0,
dls,18,0.3479166923061087,0.06522440378646482,0.02,True,0.021334675565255947,184,0.0034545891600174,0.002861624005343802,0.0035364498988620712,0.0058009363684451655,0.00486625256179208,0.0005442503323184238,0.0035106837211298235,0.0058009363684451655,0,40,
builtin,18,0.3479166923061087,0.06522440378646482,0.02,True,0.02033960989011877,183,0.01688214789344906,0.011453500944166448,0.015513823984110633,0.009881828001309132,0.009611320784100468,0.013888908869688929,0.012871921746137445,0.01688214789344906,0,0,
dls,19,0.35044545548751127,0.1277608034450111,0.02,True,0.021427735057579163,183,0.0031915337951686244,0.0025350438781440677,0.0033260682259450914,0.005798777676962341,0.004951228293598839,0.0005435496159936897,0.003391033580968776,0.005798777676962341,0,39,
builtin,19,0.35044545548751127,0.1277608034450111,0.02,True,0.0215753865936192,201,0.005820731988931539,0.015077425342162621,0.015499634074422392,0.012938676530868583,0.017215667627802567,0.01577386449733998,0.013721000010254614,0.017215667627802567,0,0,
